PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
2001-09-29.43,C/2001 S3 SOHO-967,R. Kracht,C3,0.0071, ,
2001-08-16.94,C/2001 Q9 SOHO-966,R. Kracht,C3,0.0071, ,
2000-10-12.68,C/2000 T6 SOHO-454,R. Kracht,C2,0.0049,7919,
2000-10-07.35,C/2000 T5 SOHO-453,R. Kracht,C2,0.0056,7919,
2000-09-29.14,C/2000 S6 SOHO-941,R. Kracht,C3,0.0050, ,
2000-04-29.16,C/2000 H7 SOHO-431,R. Kracht,C2,0.0079,7899,
2000-04-26.44,C/2000 H6 SOHO-430,R. Kracht,C2,0.0064,7899,
2000-04-11.03,C/2000 G3 SOHO-541,R. Kracht,C2 C3,0.0072,8073,
2000-03-28.91,C/2000 F3 SOHO-452,R. Kracht,C2,0.0052,7919,
2000-03-19.79,C/2000 F2 SOHO-451,R. Kracht,C2,0.0053,7919,
1999-11-26.83,C/1999 W2 SOHO-420,R. Kracht,C2,0.0055,7898,V
1999-05-28.23,C/1999 K17 SOHO-400,R. Kracht,C2,0.0062,7842,V
1999-05-14.40,C/1999 J13 SOHO-397,R. Kracht,C2,0.0052,7839,V
1999-04-26.59,C/1999 H9 SOHO-396,R. Kracht,C2,0.0072,7839,V
1999-04-20.31,C/1999 H8 SOHO-395,R. Kracht,C2,0.0050,7839,V
1998-11-30.43,C/1998 W8 SOHO-1109,R. Kracht,C2,0.0052, ,V
1998-10-15.57,C/1998 T2 SOHO-1110,R. Kracht,C3,0.0049, ,V
1998-06-02.73,C/1998 L10 SOHO-1115,R. Kracht,C2,0.0079, ,V
1997-11-07.08,C/1997 V8 SOHO-1101,R. Kracht,C3,0.0080, ,V
1997-09-20.22,C/1997 S5 SOHO-922,R. Kracht,C3,0.0058, ,V
1997-08-09.33,C/1997 P5 SOHO-921,R. Kracht,C3,0.0051, ,V
1997-08-08.89,C/1997 P4 SOHO-920,R. Kracht,C3,0.0096, ,V
1997-08-01.50,C/1997 O3 SOHO-1096,R. Kracht,C3,0.0053, ,V
1997-05-03.36,C/1997 J5 SOHO-927,R. Kracht,C3,0.0077, ,V
1996-09-04.48,C/1996 R5 SOHO-1095,R. Kracht,C3,0.0053, ,V
