PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE,PERIHELION DISTANCE,ORBIT UPDATES,Auto/Vis. Disc.
1998-06-06.96,C/1998 L7 SOHO-153,M. Oates,C2,0.0084,7452,V
1998-06-06.28,C/1998 L6 SOHO-151,M. Oates,C2,0.0057,7451,V
1998-06-05.87,C/1998 L5 SOHO-150,M. Oates,C2,0.0055,7451,V
1998-06-05.42,C/1998 L4 SOHO-149,M. Oates,C2,0.0052,7451,V
1998-06-04.54,C/1998 L3 SOHO-148,M. Oates,C2,0.0050,7451,V
1998-06-04.01,C/1998 L2 SOHO-152,M. Oates,C2,0.0052,7451,V
1998-05-31.55,C/1998 K17 SOHO-146,M. Oates,C2,0.0087,7450,V
1998-05-29.81,C/1998 K16 SOHO-145,M. Oates,C2,0.0058,7450,V
1998-05-29.11,C/1998 K15 SOHO-143,M. Oates,C2,0.0078,7445,V
1998-05-26.83,C/1998 K14 SOHO-142,M. Oates,C2,0.0051,7445,V
1998-05-22.23,C/1998 K13 SOHO-139,M. Oates,C2,0.0090,7445,V
1998-05-21.40,C/1998 K12 SOHO-140,M. Oates,C2,0.0063,7445,V
1998-04-28.32,C/1998 H4 SOHO-193,M. Oates,C2,0.0050,7480,V
1998-04-26.87,C/1998 H3 SOHO-194,M. Oates,C2,0.0054,7480,V
1998-04-07.89,C/1998 G7 SOHO-188,M. Oates,C2,0.0079,7480,V
1998-04-07.15,C/1998 G6 SOHO-187,M. Oates,C2,0.0053,7480,V
1998-04-06.72,C/1998 G5 SOHO-186,M. Oates,C2,0.0050,7480,V
1997-11-09.23,C/1997 V6 SOHO-232,M. Oates,C2,0.0054,7534,V
1997-11-08.90,C/1997 V5 SOHO-231,M. Oates,C2,0.0085,7534,V
1997-11-03.94,C/1997 V4 SOHO-230,M. Oates,C2,0.0050,7534,V
1997-11-02.20,C/1997 V3 SOHO-229,M. Oates,C2,0.0075,7534,V
1997-10-28.02,C/1997 U7 SOHO-227,M. Oates,C2,0.0051,7519,V
1997-10-27.21,C/1997 U6 SOHO-226,M. Oates,C2,0.0051,7519,V
1997-10-27.20,C/1997 U5 SOHO-225,M. Oates,C2,0.0051,7519,V
1997-10-22.29,C/1997 U4 SOHO-224,M. Oates,C2,0.0050,7519,V
1997-10-20.60,C/1997 U3 SOHO-223,M. Oates,C2,0.0052,7519,V
1997-10-17.53,C/1997 U2 SOHO-222,M. Oates,C2,0.0051,7519,V
1997-10-09.04,C/1997 T8 SOHO-220,M. Oates,C2,0.0052,7519,V
1997-10-02.30,C/1997 T6 SOHO-218,M. Oates,C2,0.0050,7517,V
1997-06-01.24,C/1997 K7 SOHO-329,M. Oates,C2,0.0089,7646,V
1997-05-31.54,C/1997 K6 SOHO-183,M. Oates,C2,0.0057,7485,V
1997-05-26.35,C/1997 K3 SOHO-182,M. Oates,C2,0.0077,7472,V
1997-05-20.6,C/1997 K5 SOHO-181,M. Oates,C2,0.009,7485,V
1997-05-10.84,C/1997 J4 SOHO-179,M. Oates,C2,0.0094,7472,V
1997-05-10.75,C/1997 J3 SOHO-178,M. Oates,C2,0.0085,7472,V
1997-04-11.56,C/1997 G6 SOHO-200,M. Oates,C2,0.0050,7480,V
1997-04-06.17,C/1997 G5 SOHO-198,M. Oates,C2,0.0049,7480,V
1997-04-05.79,C/1997 G4 SOHO-197,M. Oates,C2,0.0050,7480,V
1997-04-04.44,C/1997 G3 SOHO-196,M. Oates,C2,0.0050,7480,V
1996-09-15.22,C/1996 R4 SOHO-354,M. Oates,C3,0.0055,7730,V
